wellbeing,log_income,income,income_above_100
83.59,10.46,35000,0
85.322,12.07,175000,1
57.565,10.13,25000,0
64.169,11.35,85000,0
56.386,11.46,95000,0
58.131,10.46,35000,0
85.597,11.63,112500,1
68.732,12.07,175000,1
59.764,12.07,175000,1
45.118,11.63,112500,1
72.114,11.08,65000,0
51.073,10.13,25000,0
59.244,13.35,625000,1
64.534,12.07,175000,1
59.625,10.92,55000,0
93.9,12.43,250000,1
66,10.71,45000,0
50,11.83,137500,1
55.906,9.62,15000,0
75.25,9.62,15000,0
59.589,10.71,45000,0
56.386,11.46,95000,0
74.147,11.46,95000,0
43.777,10.92,55000,0
40.974,11.63,112500,1
63.021,11.63,112500,1
68.115,11.83,137500,1
42.619,10.46,35000,0
58.986,10.13,25000,0
68.585,11.46,95000,0
61.148,12.43,250000,1
59.299,12.43,250000,1
58.465,11.63,112500,1
51.364,10.71,45000,0
67.798,12.07,175000,1
58.545,10.46,35000,0
65.925,12.07,175000,1
63.49,11.35,85000,0
77.259,10.46,35000,0
61.056,12.07,175000,1
37.045,11.08,65000,0
46.44,12.07,175000,1
57.134,11.08,65000,0
73.274,11.35,85000,0
74.825,12.43,250000,1
60.341,12.9,4.00E+05,1
60.45,10.71,45000,0
56.797,11.83,137500,1
51.364,12.43,250000,1
82.681,12.07,175000,1
76.524,10.92,55000,0
80.761,12.43,250000,1
62.385,11.63,112500,1
66.754,12.07,175000,1
63.021,10.71,45000,0
61.087,11.83,137500,1
49.12,11.63,112500,1
86.781,11.83,137500,1
85.597,11.63,112500,1
69.403,12.9,4.00E+05,1
87.013,11.08,65000,0
64.276,10.71,45000,0
58.249,9.62,15000,0
63.304,11.23,75000,0
83.02,11.63,112500,1
48.928,10.13,25000,0
52.156,10.13,25000,0
55.271,10.71,45000,0
54.651,11.63,112500,1
54.458,11.83,137500,1
63.655,10.92,55000,0
62.17,11.63,112500,1
68.516,11.08,65000,0
66.754,9.62,15000,0
57.93,10.46,35000,0
85.115,10.46,35000,0
73.274,11.83,137500,1
59.764,10.13,25000,0
42.425,10.71,45000,0
67.038,11.08,65000,0
54.071,12.07,175000,1
68.825,11.23,75000,0
71.113,12.43,250000,1
55.805,11.23,75000,0
47.997,11.08,65000,0
77.134,11.83,137500,1
79.5,11.63,112500,1
61.652,12.07,175000,1
72.794,11.23,75000,0
62.137,11.63,112500,1
52.882,11.83,137500,1
78.177,13.35,625000,1
86.399,12.07,175000,1
55.2,13.35,625000,1
59.086,11.23,75000,0
77.988,10.46,35000,0
63.237,12.07,175000,1
53.681,11.63,112500,1
88.003,11.63,112500,1
59.355,11.83,137500,1
71.706,10.92,55000,0
79.293,11.08,65000,0
76.044,10.46,35000,0
80.58,11.23,75000,0
60.875,11.35,85000,0
69.403,10.13,25000,0
25.042,10.92,55000,0
65.581,11.46,95000,0
65.317,10.46,35000,0
60.719,11.23,75000,0
66.857,11.63,112500,1
39.226,10.46,35000,0
60.103,10.92,55000,0
56.51,11.63,112500,1
62.911,12.07,175000,1
67.569,11.08,65000,0
62.591,11.46,95000,0
84.079,11.23,75000,0
75.974,12.9,4.00E+05,1
71.559,11.35,85000,0
56.51,11.63,112500,1
77.051,11.63,112500,1
59.384,11.35,85000,0
63.599,10.92,55000,0
67.598,11.08,65000,0
88.957,10.92,55000,0
49.184,10.92,55000,0
73.589,10.71,45000,0
69.365,12.07,175000,1
52.156,12.43,250000,1
50.176,10.13,25000,0
63.517,10.46,35000,0
82.468,10.46,35000,0
60.838,11.83,137500,1
55.658,11.35,85000,0
50.363,10.92,55000,0
63.824,10.13,25000,0
52.323,10.13,25000,0
60.138,11.63,112500,1
56.257,11.08,65000,0
55.237,10.71,45000,0
69.365,10.13,25000,0
50,11.23,75000,0
